"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C401,C502,C501,C202,C201";"C_0402_1005Metric";5;"100n";;;
2;"J401,J402,J403,J404";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";4;"Conn_01x04";;;
3;"D203,D505,D501,D205,D101,D201,D206,D507,D506,D508,D208,D503,D204,D207,D202,D502,D504";"D_SMA";17;"D";;;
4;"IC501,IC201";"TO127P500X2020X2210-15P";2;"L298N";;;
5;"C503";"C_0402_1005Metric";1;"1u";;;
6;"IC401";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"TCA9548ADGSR";;;
7;"R505,R405,R504,R408,R402,R404,R406,R410,R403,R409,R407,R401";"R_0402_1005Metric";12;"10k";;;
8;"IC303";"SOP64P602X175-16N";1;"MAX1039AEEE+";;;
9;"R501,R502,R202,R201";"R_2512_6332Metric";4;"R";;;
10;"J202,J201,J502,J101,J501";"AMASS_XT30U-M_1x02_P5.0mm_Vertical";5;"Conn_01x02";;;
11;"D509,D209";"LED_0402_1005Metric";2;"LED";;;
12;"R203,R503";"R_0402_1005Metric";2;"480";;;
13;"U101";"XCVR_ESP32-S3-DEVKITC-1-N8R2";1;"ESP32-S3-DEVKITC-1-N8R2";;;
